driver_uuid,,supply_hours,trips,actual_payment,qualified,removed
d4aaec4dc4ce4134bd46962ebd57085f,,12,31,145.57,1,0
ae96f82044044c5cbad0ca59f5f84136,,11.8499999,29,100.29,1,0
bfd1c7f3e81746c6a4f9dda3bd5cd586,,11.67000008,28,103.15,1,0
77b194f5c02d4f238485259e06aab952,,11.01999998,26,182.48,1,0
104f3dcc3df94c66bdf9bb56f3e4093b,,10.30000019,26,174.58,1,0
4dba425275a442d9bddd1ea202f0677a,,10.94999981,25,163.92,1,0
16cdbc9df22a4c6d901d887df8c3ac92,,9.350000381,24,121.8,1,0
24a3deea8a6c4640a56f62ad5eb983b0,,8.460000038,24,56.94,1,0
fc7fb478e46b404dbd42b8f15431c180,,9.349999905,21,99.62,1,0
53c2cb93de984b549fcf858e74858305,,11.82999992,20,215.19,1,0
3e2a09a2f2564c9a9e862622ffd775fe,,10.50999975,20,0,1,0
9a5f600487284da98f8c92f5f519f674,,8.139999866,20,112.04,1,0
b2b25af534b9434fa35eaa483300ebaa,,5.860000193,19,22.55,1,0
e00f1b894734451daeb7a0e2ff3a513b,,11.88000011,19,226.85,1,0
057a9d6e926a4198ad11aa6803f2c155,,9.190000057,18,0,1,0
e2db89ef9404402bbfb45830eac3ba9a,,6,18,73.02,1,0
3e9db65cf2cf49259c01cdf00f5ce922,,6.620000124,15,51.19,1,0
120eee1d85f1437d910a15e3d8c41118,,10.71000004,15,0,1,0
f5832aa4f5cb4063b4b4837048f32dce,,6.640000105,15,102.16,1,0
ae03e20aeac04a0887a8eaca2bd5ce23,,7.300000191,14,118.82,1,0
e92b585555ec4dbab9f32bc95c817667,,10.05000019,14,63.89,1,0
6c43ccac9e284c488b7a953e9533f773,,5.559999943,14,0,1,0
2961777aa6d44167b8dd375764f69249,,5.949999809,14,0,1,0
431e8babb99f4269b8ead7d7c7c46b9d,,6.529999852,14,72.23,1,0
be5cddb8d1ee44e8b2901a30cf39958b,,3.680000067,13,39.1,1,0
4513e10d6e40400cbf689821569725da,,5.71999979,13,103.52,1,0
97194e39209644f6870599df3d6e8ccf,,5.090000153,13,67.7,1,0
87d243abfda44745be6509852663e4bc,,3.980000019,13,0,0,0
309e817d0aa6452e80842103573ce30e,,5.119999886,12,0,1,0
82eddb80f71948dda7584e6d59daa710,,9.569999695,12,105.21,1,0
a35d51c69d0847498bf233fbadf55ee4,,5.920000076,11,0,1,0
29168aff5dd14b6aaa9340596f84fead,,4.489999771,11,75.1,1,0
701b9417436e4d08b54be105dbe137a9,,5.400000095,11,0,1,0
301602d4db2b4f3a86231abe17ff1fb5,,4.900000095,10,0,1,0
d05c0f534455454faa68d2565b604520,,6.379999876,10,19.22,1,0
89d6b710717846438329c8427852775f,,6.610000134,9,70.02,1,0
3b498483b21e481290e17a6951227f72,,3.619999886,9,0,1,0
95cadcb457c54164aa0133951b2c38cd,,5.700000048,9,0,1,0
69d4015939ec41209f61b2550d7a019d,,6.039999962,8,0,1,0
de47999fd98a483c894b273e81c1775f,,3.619999886,8,0,1,0
4e7d37b486604b9faf5c5e630932f81a,,2.920000076,8,35.17,1,0
168f1946c0b84a85b87c2fdf93ac1e95,,3.759999931,7,0,1,0
5c56e03406124c3dacedd3a1009df618,,3.910000086,7,73.39,1,0
a1afbb161237472eb0246ddb1d991d54,,3.130000114,7,61.15,1,0
02f752c8cb854835a6cca634b0c10abb,,5.230000138,7,0,1,0
a076f7906cf2462880f72264e9203e36,,5.049999952,7,42.7,1,0
fb85a8546d6947038997de2645916dab,,3.039999962,6,41.31,1,0
e3bae794cb334b2ca0fb7d772d47e367,,4.389999866,6,0,1,0
6776b53eec074f499644b28b78bd94be,,4.710000038,6,0,1,0
5be4e86192164eb3ac891c676cb98dbf,,6,6,0,1,0
ffdbd576abd44a67b4c1ed42891da275,,7.71999979,6,0,1,0
cb1bdf776c6442ecab7bf75962e74c75,,2.799999952,5,59.62,1,0
69ceed82a2c64c07b5c44b7d53462c84,,3.049999952,5,0,1,0
f179122cb44e46fe90ff8242358dc2fa,,2.01000005,5,18.31,1,0
cb944d581cc647b5a21351fb82e66103,,1.879999995,4,0,1,0
9ee7d31e274c435bbc8c0a4329833cb7,,2.549999952,4,0,1,0
d9399ec94e0c4088aea173faa11f6349,,3.420000076,4,0,1,0
d274030a87f244899389cb2501d9af8a,,2.390000105,4,0,1,0
f46fe1519ac543beaa65dfabb43ad9c0,,3.250000119,4,0,1,0
3e4169890daa46a59c19cb4e8ae7e563,,3.059999943,4,0,1,0
6b64b83016884c69bb09cc8a32bc52fd,,1.580000043,3,33.91,1,0
89af2012cbaf41fea379e644d2f99008,,1.50999999,3,0,1,0
a07e8738b8b54a90b48c70596fe85073,,3.49000001,3,0,1,0
fbf72afe42c8458c9903b938b51e7415,,2.409999967,3,0,1,0
4fa6d82d5eb644a8b10599aad4349d1f,,3.769999981,3,0,1,0
e9e53b72076f4743b9c4c61d48527927,,2.220000029,3,16.19,1,0
28f60d93920c4b79b3491dea244c39c7,,0.689999998,3,0,1,0
939ed39db403487c8d356addd7ab8183,,1.580000043,2,0,1,0
fc1ddded1ace4b2e99ba48e90b50df26,,3.210000038,2,0,1,0
e42b653330a746a1b12cb415ac39e086,,2.059999943,2,0,1,0
9925d3813efd4902afaffb87fedad307,,2.480000019,2,0,1,0
d8ef543cf951407985a36ee468e7f7d1,,1.149999976,2,0,1,0
225ea49d391047a7a63ee7c2820aeca0,,1.789999962,1,0,1,0
0a738a41ad3e486d9ec93406f761ffdd,,1.070000052,1,0,1,0
dcf3e3f63576482cb94283a6ded5acad,,2.309999943,1,0,1,0
526efe9dfeb14710b51878567cdf6360,,3.25,0,0,1,0
ce3e5eac8894460787eda42aa61906a5,,0.119999997,0,0,1,0
d9364eb83c1c44ecad677526e9860159,,0.49000001,0,0,1,0
5f18ec4123a44973a2f280bde3dba996,,1.00999999,0,0,1,0
88f88f6892cd4ab0baa23e554dfd9898,,0.479999989,0,0,1,0
b996315efce644019163f3dbac73c66f,,1.200000048,0,0,1,0
